"Hh_ID";"gruppe";"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"beobachten";"vergleichen";"austauschen";"was_andere_tun";"messen1";"messen2";"gesl";"alter";"miete";"einkommen";"X03d_longhair";"X05a_goal_yn";"X06a_readable";"X08b_hhcomp_income";"X12b_underst_vol";"X12c_underst_ener";"sem01_verstaendlich";"sem04_wirksam";"sem05_unnuetz";"sem11_nervig"
3809;3;"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Selten";"Eher oft";"Eher oft";"Selten";"Selten";"männlich";"30-39";"Mietwohnung";"6000 - 6999 Fr.";0;"Ja";5;60;"5";"3";-1;-1;0;0
3813;4;"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Selten";"Oft";"männlich";"40-49";"Mietwohnung";"Mehr als 15000 Fr.";0;"Ja";1;20;"5";"2";1;-2;2;1
3854;3;"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Indifferent";"Eher selten";"Selten";"Eher selten";"Eher oft";"Eher selten";"Eher oft";"weiblich";"20-29";"Mietwohnung";"5000 - 5999 Fr.";1;"Ja";4;35;"5";"4";-2;-1;2;1
3960;4;"Indifferent";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";"Eher selten";"Eher oft";"Eher selten";"Selten";"Eher oft";"weiblich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";0;"Nein";5;30;"5";"5";-3;-2;3;2
3968;3;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Oft";"Selten";"Eher selten";"Selten";"Eher selten";"Oft";"weiblich";"30-39";"Mietwohnung";"3000 - 3999 Fr.";1;"Ja";4;80;"5";"3";-1;-1;1;1
4009;2;"Stimme nicht zu";"Stimme nicht zu";"Stimme nicht zu";"Stimme nicht zu";"Indifferent";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Nie";"Selten";"Eher oft";"Eher oft";"Nie";"Eher oft";"männlich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";1;NA;5;40;NA;NA;-3;-2;3;0
4138;3;"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Oft";"Eher oft";"Eher oft";"Eher oft";"Eher selten";"männlich";"20-29";"Mietwohnung";"7000 - 7999 Fr.";0;"Nein";5;40;"4";"4";-2;-1;2;2
4142;3;"Indifferent";"Stimme zu";"Indifferent";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme nicht zu";"Stimme eher zu";"Indifferent";"Selten";"Eher oft";"Eher selten";"Eher oft";"Eher oft";"Oft";"männlich";"50-64";"Mietwohnung";"Mehr als 15000 Fr.";0;"Nein";5;40;"5";"5";1;-2;2;1
4155;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Indifferent";"Stimme eher zu";NA;"Stimme nicht zu";"Stimme zu";"Stimme zu";"Oft";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"weiblich";"30-39";"Mietwohnung";"5000 - 5999 Fr.";1;"Nein";5;50;"5";"4";-2;-3;3;3
4169;2;"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme zu";"Indifferent";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme eher zu";"Eher selten";"Eher selten";"Oft";"Eher oft";"Eher selten";"Oft";"männlich";"50-64";"Mietwohnung";"10000 - 11999 Fr.";0;NA;2;10;NA;NA;-3;0;-2;0
